,Estado_x,Cargo,Nome_candidato,CPF,Nome_urna,Partido,Situacao,Nome,Nome_consulta_bancada,Estado_y,Cargo_bancada_novembro,Partido_novembro,Nome_consulta_Frente_Ambientalista
524,,,,,,,,Ronaldo Caiado,RONALDO CAIADO,GO,Vice-presidente Senado,DEM,ADAIL CARNEIRO
525,,,,,,,,Ronaldo Caiado,RONALDO CAIADO,GO,,DEM,CABO DACIOLO
526,,,,,,,,Flexa Ribeiro ,FLEXA RIBEIRO ,PA,Coordenador Político Senado,PSDB,ADELMO CARNEIRO LEÃO
527,,,,,,,,Reinhold Stephanes ,REINHOLD STEPHANES ,PR,Coordenador Político Câmara,PSD ,ADELSON BARRETO
528,,,,,,,,Valdir Colatto ,VALDIR COLATTO ,SC,Coord. de Meio Ambiente,PMDB,ADÉRMIS MARINI
529,,,,,,,,Evandro Roman ,EVANDRO ROMAN ,PR,Coord. de Defesa Sanitária,PSD,AELTON FREITAS
530,,,,,,,,Jerônimo Goergen ,JERÔNIMO GOERGEN ,RS,Coord. de Direito de Propriedade,PP,AFONSO HAMM
531,,,,,,,,Acir Gurgacz,ACIR GURGACZ,RO,,PDT,ANDRES SANCHEZ
532,,,,,,,,Gladson Cameli,GLADSON CAMELI,AC,,PP,ANGELIM
533,,,,,,,,Romero Jucá,ROMERO JUCÁ,RR,,PMDB,ANÍBAL GOMES
534,,,,,,,,Sérgio Petecão,SÉRGIO PETECÃO,AC,,PSD,ANTONIO BRITO
535,,,,,,,,Valdir Raupp,VALDIR RAUPP,RO,,PMDB,ANTONIO BULHÕES
536,,,,,,,,ELIZEU DIONIZIO,ELIZEU DIONIZIO,MS,,PSDB,ASSIS CARVALHO
537,,,,,,,,Cidinho Santos,CIDINHO SANTOS,MT,,PR,BOHN GASS
538,,,,,,,,Hélio José,HÉLIO JOSÉ,DF,,PMDB,BONIFÁCIO DE ANDRADA
539,,,,,,,,José Medeiros,JOSÉ MEDEIROS,MT,,PSD,BRUNA FURLAN
540,,,,,,,,Waldemir Moka,WALDEMIR MOKA,MS,,PMDB,CABO SABINO
541,,,,,,,,Wellington Fagundes,WELLINGTON FAGUNDES,MT,,PR,CABUÇU BORGES
542,,,,,,,,ANDRÉ AMARAL,ANDRÉ AMARAL,PB,,PMDB,CAETANO
543,,,,,,,,ANTÔNIO JÁCOME,ANTÔNIO JÁCOME,RN,,PTN,CARLOS BEZERRA
544,,,,,,,,BETO ROSADO,BETO ROSADO,RN,,PP,CARLOS MELLES
545,,,,,,,,GUILHERME COELHO,GUILHERME COELHO,PE,,PSDB,CÉSAR MESSIAS
546,,,,,,,,HUGO MOTTA,HUGO MOTTA,PB,,PMDB,CHICO D'ANGELO
547,,,,,,,,Benedito de Lira,BENEDITO DE LIRA,AL,,PP,DELEGADO WALDIR
548,,,,,,,,Ciro Nogueira,CIRO NOGUEIRA,PI,,PP,DELEY
549,,,,,,,,Eduardo Amorim,EDUARDO AMORIM,SE,,PSC,DIEGO ANDRADE
